deporte/caracteristicas,futbol,baloncesto,rugby,tenis,natacion,ciclismo,golf,boxeo,voleibol,esgrima,esqui_alpino,f1,gimnasia_artistica,tiro_con_arco,surf,balonmano,atletismo,beisbol,lucha_libre,balonmano_playa
futbol,10,4,5,1,0,0,1,0,3,0,0,0,0,0,0,4,0,2,0,4
baloncesto,4,10,4,2,0,0,0,1,3,0,0,0,0,0,0,4,0,1,1,4
rugby,5,4,10,2,0,0,0,3,0,0,0,0,0,0,0,4,0,1,2,3
tenis,1,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
natacion,0,0,0,0,10,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
ciclismo,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,4,0,0,0
golf,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
boxeo,0,1,3,0,0,0,0,10,0,3,0,0,0,0,0,1,0,0,6,0
voleibol,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,3
esgrima,0,0,0,0,0,0,0,3,0,10,0,0,4,1,0,0,1,0,0,0
esqui_alpino,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,2,0,0,0
f1,0,0,0,0,0,2,0,0,0,0,1,10,0,0,0,0,1,0,0,0
gimnasia_artistica,0,0,0,0,1,0,0,0,0,4,0,0,10,1,0,0,3,0,0,0
tiro_con_arco,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0
surf,0,0,0,0,6,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
balonmano,4,4,4,0,0,0,0,1,3,0,0,0,0,0,0,10,0,2,1,8
atletismo,0,0,0,1,0,4,1,0,0,1,2,1,3,0,0,0,10,1,0,0
beisbol,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0,1
lucha_libre,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,10,0
balonmano_playa,4,4,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,1,0,10
