deporte/caracteristicas,Equipo,Contacto,Velocidad,Balón/Disco,Red/Canasta,Raqueta/Pala,Tiro/Punteria,Baja-Fuerza,Alta-Resistencia,Medio-Impacto,Individual,Terreno,Cubierto/Indoor,Combate,Invierno/Nieve,Acuatico,Aereo,Motorizado,Gimnastico,Estrategia
futbol,1,0.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
baloncesto,1,0.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rugby,1,0.9,0,1,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0
tenis,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
natacion,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5,0
ciclismo,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
golf,0,0,0,1,0,1,0.8,0,0.5,0,1,1,0,0,0,0,0,0,0,0
boxeo,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.1
voleibol,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
esgrima,0,0.9,0,0,0,0.3,1,0,0,0,1,0,1,0.9,0,0,0,0,0,0
esqui_alpino,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
f1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
gimnasia_artistica,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
tiro_con_arco,0,0,0,0,0,0,1,0,0,0,1,0,1,0.5,0,0,0,0,0,0.5
surf,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
balonmano,1,0.5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
atletismo,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
beisbol,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lucha_libre,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
balonmano_playa,1,0.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
