deporte/caracteristicas,Equipo,Contacto,Velocidad,Balón/Disco,Red/Canasta,Raqueta/Pala,Tiro/Punteria,Baja-Fuerza,Alta-Resistencia,Medio-Impacto,Individual,Terreno,Cubierto/Indoor,Combate,Invierno/Nieve,Acuatico,Aereo,Motorizado,Gimnastico,Estrategia
futbol,1.0,0.8,0.5,1.0,0.8,0.0,0.0,0.3,0.9,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
baloncesto,1.0,0.6,0.6,1.0,1.0,0.0,0.0,0.4,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
rugby,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.1,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
tenis,0.1,0.0,0.5,0.9,0.0,1.0,0.0,0.2,0.7,0.4,1.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5
natacion,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2
ciclismo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
golf,0.1,0.0,0.1,0.0,1.0,0.0,0.9,1.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
boxeo,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
voleibol,1.0,0.0,0.6,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7
esgrima,0.0,0.0,0.5,0.0,0.0,0.0,0.7,0.0,0.5,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
esqui_alpino,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2
f1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9
gimnasia_artistica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
tiro_con_arco,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
surf,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1
balonmano,1.0,0.8,0.6,1.0,0.8,0.0,0.0,0.3,0.7,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
atletismo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
beisbol,1.0,0.0,0.3,1.0,1.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
lucha_libre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6
balonmano_playa,1.0,0.0,0.5,1.0,0.8,0.0,0.0,0.3,0.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
